2026-02-24 12:56:53 | [INFO] | transcribe.py | transcribe | Processing audio with duration 00:01.100
2026-02-24 12:56:54 | [INFO] | caption_extraction.py | _get_asr | ASR Time taken 0:00:01.166397
2026-02-24 12:56:55 | [INFO] | caption_extraction.py | _get_diarization | Diarization Time Taken 0:00:01.218344
2026-02-24 13:04:59 | [INFO] | app.py | get_captions | Starting Process
2026-02-24 13:04:59 | [INFO] | app.py | get_captions | File Read Time 0:00:00.010922
2026-02-24 13:05:00 | [INFO] | app.py | get_captions | Conversion time 0:00:00.326067
2026-02-24 13:05:00 | [INFO] | transcribe.py | transcribe | Processing audio with duration 02:49.169
2026-02-24 13:05:43 | [INFO] | caption_extraction.py | _get_asr | ASR Time taken 0:00:43.690378
2026-02-24 13:06:51 | [INFO] | caption_extraction.py | _get_diarization | Diarization Time Taken 0:01:51.763414
2026-02-24 13:06:51 | [INFO] | caption_extraction.py | get_diarized_captions | Ending Process. Total Time Taken 0:01:52.105429
2026-02-24 13:50:46 | [INFO] | app.py | get_captions | Starting Process
2026-02-24 13:50:46 | [INFO] | app.py | get_captions | File Read Time 0:00:00
2026-02-24 13:50:46 | [INFO] | app.py | get_captions | Conversion time 0:00:00.221130
2026-02-24 13:50:46 | [INFO] | transcribe.py | transcribe | Processing audio with duration 02:49.169
2026-02-24 13:52:29 | [INFO] | caption_extraction.py | _get_asr | ASR Time taken 0:01:43.560303
2026-02-24 13:52:54 | [INFO] | caption_extraction.py | _get_diarization | Diarization Time Taken 0:02:08.071818
2026-02-24 13:52:54 | [INFO] | caption_extraction.py | get_diarized_captions | Ending Process. Total Time Taken 0:02:08.406564
2026-02-24 14:14:37 | [INFO] | app.py | get_captions | Starting Process
2026-02-24 14:14:37 | [INFO] | app.py | get_captions | File Read Time 0:00:00
2026-02-24 14:14:37 | [INFO] | app.py | get_captions | Conversion time 0:00:00.084195
2026-02-24 14:18:39 | [INFO] | app.py | get_captions | Starting Process
2026-02-24 14:18:39 | [INFO] | app.py | get_captions | File Read Time 0:00:00
2026-02-24 14:18:40 | [INFO] | app.py | get_captions | Conversion time 0:00:00.075028
2026-02-24 14:21:15 | [INFO] | app.py | get_captions | Starting Process
2026-02-24 14:21:15 | [INFO] | app.py | get_captions | File Read Time 0:00:00.117957
2026-02-24 14:21:15 | [INFO] | app.py | get_captions | Conversion time 0:00:00.273263
2026-02-24 14:21:15 | [INFO] | transcribe.py | transcribe | Processing audio with duration 04:07.014
2026-02-24 14:23:15 | [INFO] | caption_extraction.py | _get_asr | ASR Time taken 0:01:59.526350
2026-02-24 14:23:47 | [INFO] | caption_extraction.py | _get_diarization | Diarization Time Taken 0:02:31.766877
2026-02-24 14:23:47 | [INFO] | caption_extraction.py | get_diarized_captions | Ending Process. Total Time Taken 0:02:32.167691
2026-02-24 14:38:35 | [INFO] | app.py | get_captions | Starting Process
2026-02-24 14:38:35 | [INFO] | app.py | get_captions | File Read Time 0:00:00.093184
2026-02-24 14:38:35 | [INFO] | app.py | get_captions | Conversion time 0:00:00.247687
2026-02-24 14:38:35 | [INFO] | transcribe.py | transcribe | Processing audio with duration 04:07.014
2026-02-24 14:39:21 | [INFO] | caption_extraction.py | _get_asr | ASR Time taken 0:00:45.483562
2026-02-24 14:41:16 | [INFO] | caption_extraction.py | _get_diarization | Diarization Time Taken 0:02:40.752440
2026-02-24 14:41:16 | [INFO] | caption_extraction.py | get_diarized_captions | Ending Process. Total Time Taken 0:02:41.106302
2026-02-24 14:54:52 | [INFO] | app.py | get_captions | Starting Process
2026-02-24 14:54:53 | [INFO] | app.py | get_captions | File Read Time 0:00:00.078093
2026-02-24 14:54:53 | [INFO] | app.py | get_captions | Conversion time 0:00:00.296097
2026-02-24 14:54:53 | [INFO] | transcribe.py | transcribe | Processing audio with duration 04:07.014
2026-02-24 14:56:32 | [INFO] | caption_extraction.py | _get_asr | ASR Time taken 0:01:39.424926
2026-02-24 14:57:50 | [INFO] | caption_extraction.py | _get_diarization | Diarization Time Taken 0:02:56.698607
2026-02-24 15:00:30 | [INFO] | app.py | get_captions | Starting Process
2026-02-24 15:00:30 | [INFO] | app.py | get_captions | File Read Time 0:00:00.089350
2026-02-24 15:00:30 | [INFO] | app.py | get_captions | Conversion time 0:00:00.245859
2026-02-24 15:00:31 | [INFO] | transcribe.py | transcribe | Processing audio with duration 04:07.014
2026-02-24 15:02:00 | [INFO] | caption_extraction.py | _get_asr | ASR Time taken 0:01:29.716030
2026-02-24 15:03:18 | [INFO] | caption_extraction.py | _get_diarization | Diarization Time Taken 0:02:47.967216
2026-02-24 15:03:18 | [INFO] | caption_extraction.py | get_diarized_captions | Ending Process. Total Time Taken 0:02:48.315061
2026-02-24 15:06:48 | [INFO] | app.py | get_captions | Starting Process
2026-02-24 15:06:48 | [INFO] | app.py | get_captions | File Read Time 0:00:00.081821
2026-02-24 15:06:49 | [INFO] | app.py | get_captions | Conversion time 0:00:00.241194
2026-02-24 15:06:49 | [INFO] | transcribe.py | transcribe | Processing audio with duration 04:07.014
2026-02-24 15:07:52 | [INFO] | caption_extraction.py | _get_asr | ASR Time taken 0:01:03.673670
2026-02-24 15:09:42 | [INFO] | caption_extraction.py | _get_diarization | Diarization Time Taken 0:02:53.490707
2026-02-24 15:09:42 | [INFO] | caption_extraction.py | get_diarized_captions | Ending Process. Total Time Taken 0:02:53.824757
2026-02-24 15:19:44 | [INFO] | app.py | get_captions | Starting Process
2026-02-24 15:19:44 | [INFO] | app.py | get_captions | File Read Time 0:00:00.018846
2026-02-24 15:19:44 | [INFO] | app.py | get_captions | Conversion time 0:00:00.396814
2026-02-24 15:19:45 | [INFO] | transcribe.py | transcribe | Processing audio with duration 24:25.728
2026-02-24 15:29:31 | [INFO] | caption_extraction.py | _get_asr | ASR Time taken 0:09:46.042438
2026-02-24 15:40:17 | [INFO] | caption_extraction.py | _get_diarization | Diarization Time Taken 0:20:33.027158
2026-02-24 15:40:18 | [INFO] | caption_extraction.py | get_diarized_captions | Ending Process. Total Time Taken 0:20:33.485613
2026-02-25 11:18:20 | [INFO] | captions_router.py | get_captions | Starting Process
2026-02-25 11:18:20 | [INFO] | captions_router.py | get_captions | File Read Time 0:00:00.021084
2026-02-25 11:18:22 | [INFO] | captions_router.py | get_captions | Conversion time 0:00:01.949476
2026-02-25 11:18:23 | [INFO] | transcribe.py | transcribe | Processing audio with duration 24:25.728
2026-02-25 11:22:21 | [INFO] | captions_router.py | get_captions | Starting Process
2026-02-25 11:22:21 | [INFO] | captions_router.py | get_captions | File Read Time 0:00:00.004017
2026-02-25 11:22:21 | [INFO] | captions_router.py | get_captions | Conversion time 0:00:00.124810
2026-02-25 11:22:21 | [INFO] | transcribe.py | transcribe | Processing audio with duration 00:22.881
2026-02-25 11:22:24 | [INFO] | caption_extraction.py | _get_asr | ASR Time taken 0:00:02.894081
2026-02-25 11:26:22 | [INFO] | captions_router.py | get_captions | Starting Process
2026-02-25 11:26:22 | [INFO] | captions_router.py | get_captions | File Read Time 0:00:00.004413
2026-02-25 11:26:22 | [INFO] | captions_router.py | get_captions | Conversion time 0:00:00.077088
2026-02-25 11:27:31 | [INFO] | captions_router.py | get_captions | Starting Process
2026-02-25 11:27:31 | [INFO] | captions_router.py | get_captions | File Read Time 0:00:00.006646
2026-02-25 11:27:31 | [INFO] | captions_router.py | get_captions | Conversion time 0:00:00.081830
2026-02-25 11:28:55 | [INFO] | captions_router.py | get_captions | Starting Process
2026-02-25 11:28:55 | [INFO] | captions_router.py | get_captions | File Read Time 0:00:00.011808
2026-02-25 11:28:55 | [INFO] | captions_router.py | get_captions | Conversion time 0:00:00.070938
2026-02-25 11:31:05 | [INFO] | captions_router.py | get_captions | Starting Process
2026-02-25 11:31:05 | [INFO] | captions_router.py | get_captions | File Read Time 0:00:00.005092
2026-02-25 11:31:05 | [INFO] | captions_router.py | get_captions | Conversion time 0:00:00.098658
2026-02-25 11:31:05 | [INFO] | transcribe.py | transcribe | Processing audio with duration 00:22.881
2026-02-25 11:31:14 | [INFO] | caption_extraction.py | _get_diarization | Diarization Time Taken 0:00:09.489759
2026-02-25 11:31:15 | [INFO] | caption_extraction.py | _get_asr | ASR Time taken 0:00:09.574963
2026-02-25 11:31:15 | [INFO] | caption_extraction.py | get_diarized_captions | Ending Process. Total Time Taken 0:00:09.681912
2026-02-25 11:32:11 | [INFO] | captions_router.py | get_captions | Starting Process
2026-02-25 11:32:11 | [INFO] | captions_router.py | get_captions | File Read Time 0:00:00
2026-02-25 11:32:11 | [INFO] | captions_router.py | get_captions | Conversion time 0:00:00.333147
2026-02-25 11:32:11 | [INFO] | transcribe.py | transcribe | Processing audio with duration 02:49.169
2026-02-25 11:33:35 | [INFO] | caption_extraction.py | _get_asr | ASR Time taken 0:01:23.494296
2026-02-25 11:34:03 | [INFO] | caption_extraction.py | _get_diarization | Diarization Time Taken 0:01:51.439868
2026-02-25 11:34:03 | [INFO] | caption_extraction.py | get_diarized_captions | Ending Process. Total Time Taken 0:01:51.778308
2026-02-25 11:37:19 | [INFO] | captions_router.py | get_captions | Starting Process
2026-02-25 11:37:19 | [INFO] | captions_router.py | get_captions | File Read Time 0:00:00.002014
2026-02-25 11:37:19 | [INFO] | captions_router.py | get_captions | Conversion time 0:00:00.278085
2026-02-25 11:37:19 | [INFO] | transcribe.py | transcribe | Processing audio with duration 02:49.169
2026-02-25 11:37:35 | [INFO] | caption_extraction.py | _get_asr | ASR Time taken 0:00:16.061780
2026-02-25 11:39:47 | [INFO] | caption_extraction.py | _get_diarization | Diarization Time Taken 0:02:12.172005
2026-02-25 11:39:47 | [INFO] | caption_extraction.py | get_diarized_captions | Ending Process. Total Time Taken 0:02:28.513884
2026-02-25 11:44:33 | [INFO] | captions_router.py | get_captions | Starting Process
2026-02-25 11:44:33 | [INFO] | captions_router.py | get_captions | File Read Time 0:00:00.004335
2026-02-25 11:44:33 | [INFO] | captions_router.py | get_captions | Conversion time 0:00:00.378832
2026-02-25 11:44:33 | [INFO] | transcribe.py | transcribe | Processing audio with duration 02:49.169
2026-02-25 11:45:49 | [INFO] | caption_extraction.py | _get_asr | ASR Time taken 0:01:16.369412
2026-02-25 11:46:25 | [INFO] | caption_extraction.py | _get_diarization | Diarization Time Taken 0:01:52.438095
2026-02-25 11:46:25 | [INFO] | caption_extraction.py | get_diarized_captions | Ending Process. Total Time Taken 0:01:52.827285
2026-02-25 11:56:52 | [INFO] | captions_router.py | get_captions | Starting Process
